x,y
-0.0011240258316215716,2.202792118742357e-07
-0.0011240258316215716,2.202792118742357e-07
-0.0011240258316215716,2.202792118742357e-07
-0.0011240258316215716,2.202792118742357e-07
-0.0011249549720871548,2.2046284590426884e-07
-0.0011249549720871548,2.2046284590426884e-07
-0.0011249549720871548,2.2046284590426884e-07
-0.0011249549720871548,2.2046284590426884e-07
-0.0011258841125850448,2.2064648389281683e-07
-0.0011258841125850448,2.2064648389281683e-07
-0.0011268132531150191,2.2083012584224086e-07
-0.0011268132531150191,2.2083012584224086e-07
-0.0011268132531150191,2.2083012584224086e-07
-0.0011268132531150191,2.2083012584224086e-07
-0.0011277423936770338,2.210137717549369e-07
-0.0011277423936770338,2.210137717549369e-07
-0.0011277423936770338,2.210137717549369e-07
-0.0011277423936770338,2.210137717549369e-07
-0.0011286715342710444,2.2119742163330092e-07
-0.0011286715342710444,2.2119742163330092e-07
-0.0011296006748969176,2.2138107547971115e-07
-0.0011296006748969176,2.2138107547971115e-07
-0.0011296006748969176,2.2138107547971115e-07
-0.0011296006748969176,2.2138107547971115e-07
-0.0011305298155545424,2.2156473329654994e-07
-0.0011305298155545424,2.2156473329654994e-07
-0.0011305298155545424,2.2156473329654994e-07
-0.0011305298155545424,2.2156473329654994e-07
-0.0011314589562438743,2.2174839508621304e-07
-0.0011314589562438743,2.2174839508621304e-07
-0.0011314589562438743,2.2174839508621304e-07
-0.0011323880969648246,2.2193206085108696e-07
-0.0011323880969648246,2.2193206085108696e-07
-0.0011323880969648246,2.2193206085108696e-07
-0.0011333172377174156,2.2211573059358015e-07
-0.0011333172377174156,2.2211573059358015e-07
-0.0011333172377174156,2.2211573059358015e-07
-0.0011333172377174156,2.2211573059358015e-07
-0.0011342463785014916,2.2229940431606604e-07
-0.0011342463785014916,2.2229940431606604e-07
-0.0011342463785014916,2.2229940431606604e-07
-0.0011351755193168308,2.2248308202090454e-07
-0.0011351755193168308,2.2248308202090454e-07
-0.0011351755193168308,2.2248308202090454e-07
-0.001136104660163544,2.226667637105214e-07
-0.001136104660163544,2.226667637105214e-07
-0.001136104660163544,2.226667637105214e-07
-0.001136104660163544,2.226667637105214e-07
-0.0011370338010415427,2.228504493873028e-07
-0.0011370338010415427,2.228504493873028e-07
-0.0011370338010415427,2.228504493873028e-07
-0.0011379629419506934,2.2303413905362588e-07
-0.0011379629419506934,2.2303413905362588e-07
-0.0011379629419506934,2.2303413905362588e-07
-0.0011388920828909518,2.2321783271188525e-07
-0.0011388920828909518,2.2321783271188525e-07
-0.0011388920828909518,2.2321783271188525e-07
-0.0011388920828909518,2.2321783271188525e-07
-0.0011398212238622068,2.234015303644624e-07
-0.0011398212238622068,2.234015303644624e-07
-0.0011398212238622068,2.234015303644624e-07
-0.0011407503648643029,2.2358523201372963e-07
-0.0011407503648643029,2.2358523201372963e-07
-0.0011407503648643029,2.2358523201372963e-07
-0.0011416795058973735,2.2376893766211637e-07
-0.0011416795058973735,2.2376893766211637e-07
-0.0011416795058973735,2.2376893766211637e-07
-0.0011416795058973735,2.2376893766211637e-07
-0.0011426086469611522,2.2395264731197294e-07
-0.0011426086469611522,2.2395264731197294e-07
-0.0011426086469611522,2.2395264731197294e-07
-0.0011435377880556386,2.2413636096570218e-07
-0.0011435377880556386,2.2413636096570218e-07
-0.0011435377880556386,2.2413636096570218e-07
-0.0011435377880556386,2.2413636096570218e-07
-0.0011444669291807443,2.243200786256895e-07
-0.0011444669291807443,2.243200786256895e-07
-0.0011444669291807443,2.243200786256895e-07
-0.0011453960703364026,2.245038002943243e-07
-0.0011453960703364026,2.245038002943243e-07
-0.0011453960703364026,2.245038002943243e-07
-0.0011463252115226136,2.2468752597400904e-07
-0.0011463252115226136,2.2468752597400904e-07
-0.0011463252115226136,2.2468752597400904e-07
-0.0011463252115226136,2.2468752597400904e-07
-0.0011472543527391104,2.248712556670934e-07
-0.0011472543527391104,2.248712556670934e-07
-0.0011472543527391104,2.248712556670934e-07
-0.0011481834939858933,2.2505498937597986e-07
-0.0011481834939858933,2.2505498937597986e-07
-0.0011481834939858933,2.2505498937597986e-07
-0.0011491126352629623,2.2523872710307058e-07
-0.0011491126352629623,2.2523872710307058e-07
-0.0011491126352629623,2.2523872710307058e-07
-0.0011491126352629623,2.2523872710307058e-07
-0.0011500417765703398,2.254224688507721e-07
-0.0011500417765703398,2.254224688507721e-07
-0.0011500417765703398,2.254224688507721e-07
-0.0011500417765703398,2.254224688507721e-07
-0.001150970917907759,2.2560621462143369e-07
-0.001150970917907759,2.2560621462143369e-07
-0.0011519000592751089,2.2578996441743524e-07
-0.0011519000592751089,2.2578996441743524e-07
-0.0011519000592751089,2.2578996441743524e-07
-0.0011519000592751089,2.2578996441743524e-07
-0.00115282920067239,2.2597371824117854e-07
-0.00115282920067239,2.2597371824117854e-07
-0.00115282920067239,2.2597371824117854e-07
-0.00115282920067239,2.2597371824117854e-07
-0.0011537583420995125,2.2615747609504743e-07
-0.0011537583420995125,2.2615747609504743e-07
-0.0011546874835564997,2.2634123798144804e-07
-0.0011546874835564997,2.2634123798144804e-07
-0.0011546874835564997,2.2634123798144804e-07
-0.0011546874835564997,2.2634123798144804e-07
-0.0011556166250431955,2.26525003902751e-07
-0.0011556166250431955,2.26525003902751e-07
-0.0011556166250431955,2.26525003902751e-07
-0.0011556166250431955,2.26525003902751e-07
-0.0011565457665596,2.2670877386135767e-07
-0.0011565457665596,2.2670877386135767e-07
-0.0011565457665596,2.2670877386135767e-07
-0.001157474908105558,2.268925478596385e-07
-0.001157474908105558,2.268925478596385e-07
-0.001157474908105558,2.268925478596385e-07
-0.0011584040496811358,2.2707632590000787e-07
-0.0011584040496811358,2.2707632590000787e-07
-0.0011584040496811358,2.2707632590000787e-07
-0.001159333191285956,2.2726010798479203e-07
-0.001159333191285956,2.2726010798479203e-07
-0.001159333191285956,2.2726010798479203e-07
-0.001159333191285956,2.2726010798479203e-07
-0.0011602623329201522,2.2744389411641803e-07
-0.0011602623329201522,2.2744389411641803e-07
-0.0011602623329201522,2.2744389411641803e-07
-0.0011611914745836794,2.2762768429727804e-07
-0.0011611914745836794,2.2762768429727804e-07
-0.0011611914745836794,2.2762768429727804e-07
-0.001162120616276427,2.2781147852975083e-07
-0.001162120616276427,2.2781147852975083e-07
-0.001162120616276427,2.2781147852975083e-07
-0.001162120616276427,2.2781147852975083e-07
-0.0011630497579983284,2.2799527681622373e-07
-0.0011630497579983284,2.2799527681622373e-07
-0.0011630497579983284,2.2799527681622373e-07
-0.00116397889974925,2.2817907915907077e-07
