Goal Number,Expected X,Expected Y,Actual X,Actual Y,Error (m),Result,Time (s),Position Error (m)
1,0.0,1.0,0.176701633560132,0.8505183074036902,0.2314481447846944,Success,9.281880140304564,0.23144814478469433
2,3.0,-2.0,2.7625664527988114,-1.8897055403942091,0.2618006057217447,Success,11.1019766330719,0.2618006057217448
3,1.0,2.0,0.9042881984007756,1.7983021547545377,0.2232549433764721,Success,17.451099634170532,0.22325494337647211
4,-1.0,2.0,-0.77799144795072,1.9218759679294413,0.2353532697244284,Success,8.220284461975098,0.23535326972442847
5,-3.5,0.0,-3.3771512640357675,0.1926666110113705,0.2284999670166638,Success,11.750130653381348,0.22849996701666386
